Kp,R,Dst,ap,F107,RSF
0.7,99,4,3,113.9,No
0.7,99,4,3,113.9,No
0.7,99,3,3,113.9,No
0.3,99,2,2,113.9,No
0.3,99,1,2,113.9,No
0.3,99,3,2,113.9,No
0.3,99,1,2,113.9,No
0.3,99,0,2,113.9,No
0.3,99,-1,2,113.9,No
0,99,-3,0,113.9,No
0,99,-4,0,113.9,No
0,99,-4,0,113.9,No
0.3,99,-1,2,113.9,No
0.3,99,2,2,113.9,No
0.3,99,1,2,113.9,No
0,99,0,0,113.9,No
0,99,-1,0,113.9,No
0,99,0,0,113.9,No
0,99,2,0,113.9,No
0,99,3,0,113.9,No
0,99,1,0,113.9,No
0,99,2,0,113.9,No
0,99,3,0,113.9,No
0,99,5,0,113.9,No
0.7,95,7,3,115,No
0.7,95,9,3,115,No
0.7,95,10,3,115,No
0.7,95,10,3,115,No
0.7,95,10,3,115,No
0.7,95,11,3,115,No
1.3,95,11,5,115,No
1.3,95,6,5,115,No
1.3,95,2,5,115,No
1,95,-2,4,115,No
1,95,-3,4,115,No
1,95,0,4,115,No
0.7,95,3,3,115,No
0.7,95,0,3,115,No
0.7,95,-2,3,115,No
0.7,95,-1,3,115,No
0.7,95,-1,3,115,No
0.7,95,1,3,115,No
1,95,3,4,115,No
1,95,5,4,115,No
1,95,5,4,115,No
0.7,95,3,3,115,No
0.7,95,1,3,115,No
0.7,95,2,3,115,No
1.7,130,7,6,124.6,No
1.7,130,8,6,124.6,No
1.7,130,11,6,124.6,No
0.7,130,12,3,124.6,No
0.7,130,11,3,124.6,No
0.7,130,11,3,124.6,No
0.7,130,9,3,124.6,No
0.7,130,9,3,124.6,No
0.7,130,9,3,124.6,No
0.3,130,11,2,124.6,No
0.3,130,11,2,124.6,No
0.3,130,16,2,124.6,No
0.7,130,20,3,124.6,No
0.7,130,20,3,124.6,No
0.7,130,19,3,124.6,No
0,130,16,0,124.6,No
0,130,13,0,124.6,No
0,130,9,0,124.6,No
0,130,7,0,124.6,No
0,130,8,0,124.6,No
0,130,10,0,124.6,No
0,130,10,0,124.6,No
0,130,7,0,124.6,No
0,130,6,0,124.6,No
1.7,150,5,6,138.4,No
1.7,150,5,6,138.4,No
1.7,150,11,6,138.4,No
0.3,150,13,2,138.4,No
0.3,150,12,2,138.4,No
0.3,150,11,2,138.4,No
1,150,9,4,138.4,No
1,150,9,4,138.4,No
1,150,8,4,138.4,No
0.3,150,8,2,138.4,No
0.3,150,9,2,138.4,No
0.3,150,11,2,138.4,No
0,150,12,0,138.4,No
0,150,13,0,138.4,No
0,150,14,0,138.4,No
0,150,14,0,138.4,No
0,150,9,0,138.4,No
0,150,12,0,138.4,No
0.7,150,12,3,138.4,No
0.7,150,8,3,138.4,No
0.7,150,7,3,138.4,No
0.7,150,3,3,138.4,No
0.7,150,1,3,138.4,No
0.7,150,1,3,138.4,No
0.7,162,2,3,140.3,No
0.7,162,2,3,140.3,No
0.7,162,4,3,140.3,No
1,162,5,4,140.3,No
1,162,6,4,140.3,No
1,162,6,4,140.3,No
1,162,6,4,140.3,No
1,162,5,4,140.3,No
1,162,7,4,140.3,No
0.7,162,8,3,140.3,No
0.7,162,8,3,140.3,No
0.7,162,9,3,140.3,No
0,162,9,0,140.3,No
0,162,9,0,140.3,No
0,162,10,0,140.3,No
0,162,9,0,140.3,No
0,162,5,0,140.3,No
0,162,4,0,140.3,No
0.3,162,5,2,140.3,No
0.3,162,6,2,140.3,No
0.3,162,7,2,140.3,No
0,162,6,0,140.3,No
0,162,4,0,140.3,No
0,162,0,0,140.3,No
0.7,160,-3,3,137.5,No
0.7,160,-3,3,137.5,No
0.7,160,0,3,137.5,No
